filename,steer,throttle,brake
32679.png,0.0,0.0,0.0
32701.png,-0.0038481056690216064,0.8500000238418579,0.0
32727.png,-0.0038481056690216064,0.8500000238418579,0.0
32751.png,-0.0038481056690216064,0.8500000238418579,0.0
32777.png,-0.0038481056690216064,0.8500000238418579,0.0
32801.png,-0.0038481056690216064,0.8500000238418579,0.0
32825.png,-0.0038481056690216064,0.8500000238418579,0.0
32849.png,-0.0038481056690216064,0.8500000238418579,0.0
32873.png,-0.0038481056690216064,0.8500000238418579,0.0
32898.png,-0.0038481056690216064,0.8500000238418579,0.0
32923.png,-0.0038481056690216064,0.8500000238418579,0.0
32950.png,-0.0038481056690216064,0.8500000238418579,0.0
32977.png,-0.0038481056690216064,0.8500000238418579,0.0
33003.png,-0.0038481056690216064,0.8500000238418579,0.0
33032.png,-0.0038481056690216064,0.8500000238418579,0.0
33060.png,-0.0038481056690216064,0.8500000238418579,0.0
33088.png,-0.0038481056690216064,0.8500000238418579,0.0
33115.png,-0.0038481056690216064,0.8500000238418579,0.0
33144.png,-0.0038481056690216064,0.8500000238418579,0.0
33172.png,-0.0038481056690216064,0.8500000238418579,0.0
33199.png,-0.0038481056690216064,0.8500000238418579,0.0
33229.png,-0.0038481056690216064,0.8500000238418579,0.0
33259.png,-0.0038481056690216064,0.8500000238418579,0.0
33289.png,-0.0038481056690216064,0.8500000238418579,0.0
33319.png,-0.0038481056690216064,0.8500000238418579,0.0
33348.png,-0.004335341043770313,0.8500000238418579,0.0
33379.png,-0.00338350934907794,0.8500000238418579,0.0
33409.png,-0.0028030804824084044,0.8500000238418579,0.0
33440.png,-0.002360005397349596,0.8500000238418579,0.0
33470.png,-0.0011332446010783315,0.15563830733299255,0.0
33499.png,0.0019057560712099075,0.0,0.044866323471069336
33530.png,0.0006802631542086601,0.16900889575481415,0.0
33560.png,0.0010994585463777184,0.37775665521621704,0.0
33590.png,-0.00017859082436189055,0.4389200210571289,0.0
33620.png,-0.00017859082436189055,0.40305665135383606,0.0
33651.png,-0.00017859082436189055,0.35766711831092834,0.0
33681.png,0.0005497292731888592,0.34237638115882874,0.0
33711.png,0.0023080497048795223,0.3494817316532135,0.0
33741.png,-0.15000000596046448,0.359218567609787,0.0
33771.png,-0.0433778241276741,0.37073802947998047,0.0
33801.png,-0.031736116856336594,0.36244139075279236,0.0
33831.png,-0.022879183292388916,0.35661181807518005,0.0
33861.png,-0.016952047124505043,0.3564348816871643,0.0
33892.png,-0.012136876583099365,0.3584963381290436,0.0
33922.png,-0.12639997899532318,0.3611278831958771,0.0
33952.png,-0.09945372492074966,0.39179927110671997,0.0
33983.png,-0.07266052067279816,0.3622299134731293,0.0
34013.png,-0.05235389992594719,0.3473697304725647,0.0
34043.png,-0.038062646985054016,0.3501250445842743,0.0
34074.png,-0.02768796868622303,0.3577667474746704,0.0
34104.png,-0.019994474947452545,0.3613954186439514,0.0
34134.png,-0.014490176923573017,0.36106351017951965,0.0
34165.png,-0.010599933564662933,0.3595881760120392,0.0
34195.png,-0.1577087938785553,0.358809232711792,0.0
34226.png,-0.13857468962669373,0.41419005393981934,0.0
34257.png,-0.10129128396511078,0.3747998774051666,0.0
34287.png,-0.07405209541320801,0.343068391084671,0.0
34317.png,-0.05413245037198067,0.3422960340976715,0.0
34348.png,-0.0387243814766407,0.35442808270454407,0.0
34378.png,-0.027903232723474503,0.3619142174720764,0.0
34409.png,-0.020324256271123886,0.36255452036857605,0.0
34438.png,-0.01484970934689045,0.3602704405784607,0.0
34469.png,-0.010770430788397789,0.3586678206920624,0.0
34499.png,-0.16649022698402405,0.416305273771286,0.0
34530.png,-0.1220131367444992,0.3900344669818878,0.0
34560.png,-0.08876453340053558,0.3444925546646118,0.0
34590.png,-0.06444850564002991,0.3365769684314728,0.0
34621.png,-0.04709723964333534,0.3493192493915558,0.0
34652.png,-0.03333861008286476,0.3612302839756012,0.0
34682.png,-0.024591609835624695,0.3635883927345276,0.0
34713.png,-0.018137065693736076,0.36122605204582214,0.0
34742.png,-0.012944572605192661,0.3588252663612366,0.0
34773.png,-0.17916418612003326,0.40606582164764404,0.0
34803.png,-0.13417720794677734,0.40239086747169495,0.0
34834.png,-0.09699457883834839,0.3469751477241516,0.0
34864.png,-0.0707760825753212,0.33419761061668396,0.0
34894.png,-0.05029354616999626,0.3471495807170868,0.0
34925.png,-0.03756099194288254,0.37318283319473267,0.0
34955.png,-0.02726297825574875,0.36713874340057373,0.0
34986.png,-0.019545799121260643,0.35888755321502686,0.0
35016.png,-0.01425088383257389,0.35626670718193054,0.0
35046.png,-0.18684515357017517,0.3886781334877014,0.0
35077.png,-0.14400221407413483,0.4299268126487732,0.0
35107.png,-0.10476405918598175,0.3612208664417267,0.0
35137.png,-0.07656247913837433,0.33146852254867554,0.0
35168.png,-0.05522109195590019,0.3403128981590271,0.0
35198.png,-0.040008362382650375,0.3569430708885193,0.0
35228.png,-0.028898196294903755,0.36447563767433167,0.0
35258.png,-0.020831871777772903,0.36309880018234253,0.0
35289.png,-0.01546536199748516,0.35972291231155396,0.0
35319.png,-0.19319716095924377,0.3735676109790802,0.0
35349.png,-0.15021254122257233,0.4216764569282532,0.0
35379.png,-0.11027263849973679,0.36107224225997925,0.0
35410.png,-0.07823599874973297,0.33284813165664673,0.0
35441.png,-0.058278970420360565,0.34146183729171753,0.0
35471.png,-0.04237368702888489,0.3568783104419708,0.0
35501.png,-0.030439596623182297,0.3638937473297119,0.0
35528.png,-0.0218765027821064,0.3626479506492615,0.0
35555.png,-0.016044894233345985,0.35962334275245667,0.0
35582.png,-0.1953403353691101,0.3673180341720581,0.0
35610.png,-0.15406648814678192,0.4259645640850067,0.0
35639.png,-0.11332879215478897,0.36563441157341003,0.0
35666.png,-0.08187925815582275,0.33310961723327637,0.0
35692.png,-0.0599505752325058,0.3396281599998474,0.0
35719.png,-0.043843626976013184,0.3553861379623413,0.0
35746.png,-0.03161383047699928,0.3638814389705658,0.0
35773.png,-0.023316549137234688,0.36321064829826355,0.0
35799.png,-0.01700221374630928,0.35997268557548523,0.0
35827.png,-0.197276309132576,0.36056581139564514,0.0
35852.png,-0.15784034132957458,0.42925477027893066,0.0
35876.png,-0.1162746250629425,0.3698188066482544,0.0
35903.png,-0.08632927387952805,0.33435219526290894,0.0
35930.png,-0.06233616918325424,0.33805444836616516,0.0
35958.png,-0.04499022662639618,0.35473737120628357,0.0
35986.png,-0.03290903940796852,0.3636365830898285,0.0
36013.png,-0.02423669397830963,0.3635634779930115,0.0
36041.png,-0.017802219837903976,0.3602410852909088,0.0
36068.png,-0.1979542076587677,0.3583129346370697,0.0
36096.png,-0.16868914663791656,0.4325288236141205,0.0
36124.png,-0.1241704523563385,0.3817939758300781,0.0
36152.png,-0.0900329053401947,0.3372493088245392,0.0
36180.png,-0.06546813249588013,0.3354461193084717,0.0
36209.png,-0.04770062491297722,0.3512842655181885,0.0
36236.png,-0.03467933461070061,0.3627762794494629,0.0
36264.png,-0.02512032724916935,0.3638700246810913,0.0
36293.png,-0.01863713562488556,0.3607729971408844,0.0
36323.png,-0.013558823615312576,0.35849300026893616,0.0
36353.png,-0.17379102110862732,0.428869366645813,0.0
36383.png,-0.12890514731407166,0.3893188238143921,0.0
36414.png,-0.09261900931596756,0.3389815390110016,0.0
36444.png,-0.06702136248350143,0.33504948019981384,0.0
36474.png,-0.04845964163541794,0.35058820247650146,0.0
36504.png,-0.035369887948036194,0.3621397018432617,0.0
36533.png,-0.0257873572409153,0.36402955651283264,0.0
36564.png,-0.0185908991843462,0.3609618842601776,0.0
36594.png,-0.013688426464796066,0.3585655391216278,0.0
36624.png,-0.18173037469387054,0.42000097036361694,0.0
36654.png,-0.13459794223308563,0.39933034777641296,0.0
36683.png,-0.10020337998867035,0.34566542506217957,0.0
36714.png,-0.07105103135108948,0.33303987979888916,0.0
36743.png,-0.05199440196156502,0.34663498401641846,0.0
36774.png,-0.037551384419202805,0.36087459325790405,0.0
36804.png,-0.027259424328804016,0.3642522692680359,0.0
36833.png,-0.0199821125715971,0.361721009016037,0.0
36863.png,-0.014646671712398529,0.3589215874671936,0.0
36894.png,-0.16747011244297028,0.41105467081069946,0.0
36924.png,-0.12465882301330566,0.39497724175453186,0.0
36954.png,-0.09185254573822021,0.34741878509521484,0.0
36984.png,-0.06624949723482132,0.3364812135696411,0.0
37014.png,-0.04788811132311821,0.3488115668296814,0.0
37044.png,-0.03493969142436981,0.3604809045791626,0.0
37073.png,-0.025276081636548042,0.36364465951919556,0.0
37104.png,-0.018190672621130943,0.36134523153305054,0.0
37133.png,-0.013427095487713814,0.35901376605033875,0.0
37164.png,-0.09092185646295547,0.3789818584918976,0.0
37194.png,-0.0669822245836258,0.36923947930336,0.0
37223.png,-0.04921909049153328,0.35488781332969666,0.0
37254.png,-0.03530857339501381,0.3521156311035156,0.0
37283.png,-0.025828758254647255,0.3561077117919922,0.0
37313.png,-0.01869613118469715,0.35980212688446045,0.0
37343.png,-0.01374298706650734,0.3606700599193573,0.0
37374.png,-0.00983337126672268,0.35986489057540894,0.0
37403.png,-0.007260493468493223,0.3591406047344208,0.0
37433.png,-0.04056302085518837,0.3643115162849426,0.0
37463.png,-0.029775947332382202,0.36088964343070984,0.0
37492.png,-0.02140062116086483,0.35790184140205383,0.0
37522.png,-0.01539960689842701,0.35774561762809753,0.0
37553.png,-0.010996293276548386,0.35878080129623413,0.0
37583.png,-0.008250673301517963,0.359495609998703,0.0
37612.png,-0.005936470814049244,0.3595741093158722,0.0
37642.png,-0.0041810376569628716,0.35937660932540894,0.0
37673.png,-0.002959161764010787,0.3592287600040436,0.0
37703.png,-0.017129646614193916,0.36030349135398865,0.0
